commit	date	category	rationale	subject
5b0602e1b610c755235f02d16c4563c34092530b	2022-02-01	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate functions __Pyx_PyInt_FromSize_t, __Pyx_PyIndex_AsHash_t, and __Pyx_PyIndex_AsSsize_t to HPy
956a4fc65d049c23940c6ca5faab2bdd30b2fa72	2022-02-01	incomplete_placeholder	Explicitly incomplete behavior; useful only as a gap marker.	Provide HPy dummy impl for snippet CythonFunction
76cc3be4d30ed3842a31075299902495041b692f	2022-02-01	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Remove HPy-specific C types
0bc9dfe051dc1ea6432568623021684b1b5c6b0f	2022-02-01	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Partially migrate PyCFunctionNode to HPy
1d3fac4463f807562e7f45b90d53028a7e838b0c	2022-02-01	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Use API backend to generate calls to __Pyx_CyFunction_* functions
673775c62014727769c9e4dea21b8d7941eda557	2022-02-01	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate function __Pyx_CyFunction_Set* to HPy
d71374d70eb8b1c563c47c08684b30921354b8f3	2022-02-01	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate snippet PyObjectCall to HPy
0aa431aa93f63ccd8d73dc3499acf5f8362838ad	2022-02-01	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Load global before passing to __Pyx_GetModuleGlobalName
78f6150b1ec5dc31c72794a153cffddcaa66f64b	2022-02-01	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate function __Pyx_PyObject_IsTrue (and calls to it) to HPy
78405078c099a2de8deca1966e61d8fb0213da1f	2022-02-02	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate snippet PyIntCompare to HPy
59f5bddad3c8f7722902e437c828478d64b58372	2022-02-02	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Add HPy helper function _HPy_IsSubclass
39a3e3ddfe1d7f9fae2ccfe907037067af2b6870	2022-02-02	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate snippet RaiseException to HPy
ccce3ea686a570e10127e4b2a06065a7f418a4a4	2022-02-02	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Do not create CyFunction in HPy
9a1fbe2572d122db9e31aac05f8f2dfeb15d6375	2022-02-03	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Don't use refnanny by default when loading/storingglobals
7e39ae16dfdd0d61cd711d2c20a38117b463c6ed	2022-02-04	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix: add missing opening brace
a41b16b9d3a10ed9929746cf3c9808d3e55e3338	2022-02-04	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix: used wrong function to generate methoddef entry
d84e49e130aba3b2277a8a541528d999c2ad193b	2022-02-04	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Use Py_XINCREF for possibly NULL fq_module_name
0c0dc7d080a5468e46f025742bd0e4917e7d7531	2022-02-04	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Add missing macro __Pyx_XDECREF_NO_REFNANNY
c80b5ae64d2cb7c5eb0b13793e51f763b4086e87	2022-02-07	maintenance_or_unrelated	No direct modern backend implementation should be transplanted.	Always dup None ref in NoneNode
751253ac475bdb61939b3d65530a66006dff299c	2022-02-07	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Use put_newref in ReturnStatNode instead of make_owned_reference + assign
32348b0b48192172209dc080d6897b0943dbf59b	2022-02-07	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Share cleanup code in __Pyx_Raise
b1548a0aa3d0f280f81395b4c1aabba4d15c84ff	2022-02-07	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Add reference to HPyErr_Format issue where appropriate
f69934f250970173982546ed14b57bb02afab2dc	2022-02-07	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Remove invalid close
fbe38017262d05d98b3f9548d453d37ee232e4bd	2022-02-07	incomplete_placeholder	Explicitly incomplete behavior; useful only as a gap marker.	Revert "Disable builtins cache for now until we support it for HPy"
b2e78ec94cae576d5dd080da27c89e52a2ae624b	2022-02-07	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Migrate builtins cache to HPy
8f36ac9bb7db88224e0bccccf3b308b26888be31	2022-02-10	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Remove is_hpy flag (left-over)
4e1e75666fe28bf286a1aa371f2e1584fc2d6fdd	2022-02-10	maintenance_or_unrelated	No direct modern backend implementation should be transplanted.	Rename CPPNode to PreprocessorIfNode
ac799b5c1bf5d32706f47753c9d120e717f4fc38	2022-02-10	maintenance_or_unrelated	No direct modern backend implementation should be transplanted.	Restructure preprocessor conditions for PyIntBinop
f15e60fb82c4aac7fd6d162b9255f97e8650711e	2022-02-10	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Do not inline HPy helper functions
212a3615f50f27b18ffa739cc22834d567dec3a2	2022-02-10	maintenance_or_unrelated	No direct modern backend implementation should be transplanted.	Rearrange definition of __Pyx_PyErr_ExceptionMatches
dbe54e23a2e25dfb1a7866167adbed63ab2093a6	2022-02-11	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	Fix: always generate PyMethodDef values with CApiBackend
e08a4c46dc78c87d2fcac461ae96b3c663e3a995	2022-02-11	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	Use HPyLong_Check where appropriate
99a009316fa843a32934efc72b2b999bbb882e31	2022-02-11	maintenance_or_unrelated	No direct modern backend implementation should be transplanted.	Fully execute GeneratorDefNode.code_object
8ce18775e28c81e05fe2935cda9e89bd3037174c	2022-02-28	maintenance_or_unrelated	No direct modern backend implementation should be transplanted.	Introduce __Pyx_PyLong_Check and use it in TypeConversion.c
4b161ad6c1565baa487fda035c677afd74d011bb	2022-02-28	historical_design_correction	Records a corrected or abandoned design direction.	Remove verbose ifdef marker
2dc6039dda5a57c3f6cfa488ffd68136f6028763	2022-07-11	obsolete_hpy_api	Targets HPy 0.0.3/0.0.4 and requires redesign for the validated public API.	update hpy to 0.0.4
eec97e4026216bd5fa6c428bae295f96938c6cd9	2022-07-11	maintenance_or_unrelated	No direct modern backend implementation should be transplanted.	add braces for c++, otherwise a goto crosses variable initialization
a21c940a869914194aee5629c4ea3a912e6b6090	2022-07-29	reusable_concept_redesign_required	The architectural concern remains valid, but implementation cannot be copied unchanged.	reverse the condition since this is the result of get_is_null_cond
1fc39d5f0c537735087221e87f59210fa2dfb8d3	2022-07-29	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	use the return value from backend.get_newref()
68ae713da5c3396892cd6e8897f401d0a637dbfb	2022-07-31	maintenance_or_unrelated	No direct modern backend implementation should be transplanted.	add Inplace variants of binary ops
9dbe3991e0ecf9c38c1034f87b005e60e3bcc8c9	2022-07-31	ownership_or_correctness_evidence	Captures a correctness/ownership failure mode that needs a modern regression test.	release xdecrefed temporary nodes to appease validate_exit()
